Index,Optimizer_Curtailment_MW,AI_Safety_Curtailment_MW,Curtailment_Difference_MW,Optimizer_Solar_Headroom_MW,Optimizer_Wind_Headroom_MW,AI_Safety_Solar_Headroom_MW,AI_Safety_Wind_Headroom_MW,Safety_Result,Final_Min_Voltage,Final_Max_Voltage
7,0.0,7.389701053341111,7.389701053341111,0.0,0.0,0.29181915355187454,7.097881899789236,AI Direct,0.9513447706415612,1.049898198905948
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9500130179099758,1.003939861578363
9,0.0,0.01718876007925219,0.01718876007925219,0.0,0.0,0.0051668225558379344,0.012021937523414255,AI Direct,0.9522883017621887,1.049909432551678
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9501574584529755,1.0023236872863552
11,0.0,0.007118118143367853,0.007118118143367853,0.0,0.0,0.0,0.007118118143367853,AI Direct,0.9516087155167859,1.049934799155033
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9500348303516963,1.0045261802453906
27,16.265773208578253,19.21298142122086,2.9472082126426074,3.627229928128913,12.63854328044934,5.594959543901302,13.61802187731956,AI Direct,0.9502750079063805,1.0497050565657848
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.950247373146114,1.0036738854454539
29,24.765757076667068,27.116509548348308,2.35075247168124,3.7536564724331862,21.012100604233883,8.557820522680569,18.55868902566774,AI Direct,0.950213849874348,1.0497364060277767
34,0.0,0.12411527649519491,0.12411527649519491,0.0,0.0,0.039810237707117065,0.08430503878807785,Safety Corrected,0.9502421948793136,1.019938693324998
35,24.06573604667974,27.234892328416493,3.169156281736754,20.435827308525013,3.6299087381547257,12.635531316826299,14.599361011590196,AI Direct,0.9503003165435912,1.0497662943014505
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9503154539683831,1.0052911441006727
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9508055997977097,1.0090889829712573
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9502352761960895,1.0123023378171372
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9503185346694687,1.0120776814713783
62,0.0,0.06711504598307227,0.06711504598307227,0.0,0.0,0.005143878658459937,0.06197116732461234,Safety Corrected,0.950273625963391,1.010251319916379
63,0.0,0.06711504598307227,0.06711504598307227,0.0,0.0,0.005143878658459937,0.06197116732461234,Safety Corrected,0.9500865207329691,1.0093900128259552
68,0.0,0.003940911772166569,0.003940911772166569,0.0,0.0,0.0007975719061953233,0.0031433398659712454,AI Direct,0.9501902324639447,1.0242965822519412
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9800409694463132,1.0489911855321372
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9502160027713064,1.01336302790208
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.950016771031776,1.0091981663986995
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9501026331345372,1.0119934851860688
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9503014917029935,1.0246799708433123
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9500975470520898,1.0407622626771724
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9504800453165213,1.0103833541856024
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9500923232171488,1.0273409105668094
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9502217159045291,1.0460847664478925
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9501939423917122,1.0101895044725888
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9501404746330766,1.025553608039515
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.950108179714559,1.040786164379297
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9512554347828547,1.0099783802321733
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9500892526005865,1.0277485504389954
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9501924143663162,1.0460191155538652
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9508766688959936,1.0091168470869165
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.950332999735046,1.0283383047376562
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.950158710238304,1.0459436026447928
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9504718682882336,1.0088213294446846
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9504170549487948,1.026757326624444
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9500875065750858,1.0407396923820293
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.950453438078757,1.008813364031722
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9504244471285473,1.0221131902210379
224,0.0,0.003791118110496154,0.003791118110496154,0.0,0.0,0.0,0.003791118110496154,Safety Corrected,0.9505495044914484,1.0325752215143242
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9504320462085426,1.008770808367928
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9500679099285354,1.022096342677131
227,0.0,0.0032495298089967035,0.0032495298089967035,0.0,0.0,0.0,0.0032495298089967035,Safety Corrected,0.9505489758537877,1.0304363573902606
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9500204452042633,1.0079520942870863
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9500940520281531,1.0228886079405153
230,0.0,0.022591834775006127,0.022591834775006127,0.0,0.0,0.0,0.022591834775006127,Safety Corrected,0.9503288066602189,1.0282264046542562
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.950092165652912,1.001267394724887
